(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48620;ALA DE GALERIA CELULAR B = 2,10 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;11,5100000;509,88;5.868,71;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48621;ALA DE GALERIA CELULAR B = 2,20 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;2,9500000;405,28;1.195,57;
Serviço: ED-48621;ALA DE GALERIA CELULAR B = 2,20 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;190,2000000;13,88;2.639,97;
Serviço: ED-48621;ALA DE GALERIA CELULAR B = 2,20 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,9300000;70,69;207,12;
Serviço: ED-48621;ALA DE GALERIA CELULAR B = 2,20 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;35,8200000;53,25;1.907,41;
Serviço: ED-48621;ALA DE GALERIA CELULAR B = 2,20 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;11,8400000;509,88;6.036,97;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48622;ALA DE GALERIA CELULAR B = 2,30 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;3,0000000;405,28;1.215,84;
Serviço: ED-48622;ALA DE GALERIA CELULAR B = 2,30 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;202,6000000;13,88;2.812,08;
Serviço: ED-48622;ALA DE GALERIA CELULAR B = 2,30 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,9600000;70,69;209,24;
Serviço: ED-48622;ALA DE GALERIA CELULAR B = 2,30 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;37,1500000;53,25;1.978,23;
Serviço: ED-48622;ALA DE GALERIA CELULAR B = 2,30 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;12,2600000;509,88;6.251,12;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48623;ALA DE GALERIA CELULAR B = 2,40 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;3,0500000;405,28;1.236,10;
Serviço: ED-48623;ALA DE GALERIA CELULAR B = 2,40 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;215,1000000;13,88;2.985,58;
Serviço: ED-48623;ALA DE GALERIA CELULAR B = 2,40 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,9900000;70,69;211,36;
Serviço: ED-48623;ALA DE GALERIA CELULAR B = 2,40 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;38,4800000;53,25;2.049,06;
Serviço: ED-48623;ALA DE GALERIA CELULAR B = 2,40 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;12,4900000;509,88;6.368,40;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48624;ALA DE GALERIA CELULAR B = 2,50 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;3,1000000;405,28;1.256,36;
Serviço: ED-48624;ALA DE GALERIA CELULAR B = 2,50 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;225,1000000;13,88;3.124,38;
Serviço: ED-48624;ALA DE GALERIA CELULAR B = 2,50 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;3,0200000;70,69;213,48;
Serviço: ED-48624;ALA DE GALERIA CELULAR B = 2,50 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;39,8100000;53,25;2.119,88;
Serviço: ED-48624;ALA DE GALERIA CELULAR B = 2,50 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;12,8200000;509,88;6.536,66;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48625;ALA DE GALERIA CELULAR B = 2,60 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;3,1500000;405,28;1.276,63;
Serviço: ED-48625;ALA DE GALERIA CELULAR B = 2,60 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;234,9000000;13,88;3.260,41;
Serviço: ED-48625;ALA DE GALERIA CELULAR B = 2,60 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;3,0600000;70,69;216,31;
Serviço: ED-48625;ALA DE GALERIA CELULAR B = 2,60 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;41,1400000;53,25;2.190,70;
Serviço: ED-48625;ALA DE GALERIA CELULAR B = 2,60 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;13,1600000;509,88;6.710,02;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48626;ALA DE GALERIA CELULAR B = 2,70 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;3,2000000;405,28;1.296,89;
Serviço: ED-48626;ALA DE GALERIA CELULAR B = 2,70 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;239,1000000;13,88;3.318,70;
Serviço: ED-48626;ALA DE GALERIA CELULAR B = 2,70 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;3,0900000;70,69;218,43;
Serviço: ED-48626;ALA DE GALERIA CELULAR B = 2,70 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;42,4800000;53,25;2.262,06;
Serviço: ED-48626;ALA DE GALERIA CELULAR B = 2,70 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;13,4900000;509,88;6.878,28;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48627;ALA DE GALERIA CELULAR B = 2,80 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;3,2500000;405,28;1.317,16;
Serviço: ED-48627;ALA DE GALERIA CELULAR B = 2,80 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;244,9000000;13,88;3.399,21;
Serviço: ED-48627;ALA DE GALERIA CELULAR B = 2,80 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;3,1200000;70,69;220,55;
Serviço: ED-48627;ALA DE GALERIA CELULAR B = 2,80 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;43,8100000;53,25;2.332,88;
Serviço: ED-48627;ALA DE GALERIA CELULAR B = 2,80 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;13,8300000;509,88;7.051,64;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48628;ALA DE GALERIA CELULAR B = 2,90 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;3,3000000;405,28;1.337,42;
Serviço: ED-48628;ALA DE GALERIA CELULAR B = 2,90 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;248,5000000;13,88;3.449,18;
Serviço: ED-48628;ALA DE GALERIA CELULAR B = 2,90 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;3,1500000;70,69;222,67;
Serviço: ED-48628;ALA DE GALERIA CELULAR B = 2,90 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;45,1400000;53,25;2.403,70;
Serviço: ED-48628;ALA DE GALERIA CELULAR B = 2,90 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;14,1700000;509,88;7.224,99;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48629;ALA DE GALERIA CELULAR B = 3,00 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;3,3500000;405,28;1.357,68;
Serviço: ED-48629;ALA DE GALERIA CELULAR B = 3,00 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;252,3000000;13,88;3.501,92;
Serviço: ED-48629;ALA DE GALERIA CELULAR B = 3,00 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;3,1800000;70,69;224,79;
Serviço: ED-48629;ALA DE GALERIA CELULAR B = 3,00 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;46,4700000;53,25;2.474,52;
Serviço: ED-48629;ALA DE GALERIA CELULAR B = 3,00 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;14,5100000;509,88;7.398,35;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48544;ALA DE REDE TUBULAR DN 1000, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;21,1000000;13,24;279,36;
Serviço: ED-48544;ALA DE REDE TUBULAR DN 1000, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;0,3900000;70,69;27,56;
Serviço: ED-48544;ALA DE REDE TUBULAR DN 1000, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;9,3100000;53,25;495,75;
Serviço: ED-48544;ALA DE REDE TUBULAR DN 1000, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;1,3800000;509,88;703,63;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48545;ALA DE REDE TUBULAR DN 1100, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;28,9000000;13,24;382,63;
Serviço: ED-48545;ALA DE REDE TUBULAR DN 1100, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;0,4600000;70,69;32,51;
Serviço: ED-48545;ALA DE REDE TUBULAR DN 1100, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;12,1900000;53,25;649,11;
Serviço: ED-48545;ALA DE REDE TUBULAR DN 1100, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;1,9000000;509,88;968,77;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48546;ALA DE REDE TUBULAR DN 1200, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;30,4000000;13,24;402,49;
Serviço: ED-48546;ALA DE REDE TUBULAR DN 1200, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;0,4700000;70,69;33,22;
Serviço: ED-48546;ALA DE REDE TUBULAR DN 1200, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;13,3100000;53,25;708,75;
Serviço: ED-48546;ALA DE REDE TUBULAR DN 1200, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;2,0000000;509,88;1.019,76;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48547;ALA DE REDE TUBULAR DN 1300, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;39,3000000;13,24;520,33;
Serviço: ED-48547;ALA DE REDE TUBULAR DN 1300, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;0,5100000;70,69;36,05;
Serviço: ED-48547;ALA DE REDE TUBULAR DN 1300, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;15,1900000;53,25;808,86;
Serviço: ED-48547;ALA DE REDE TUBULAR DN 1300, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;2,5900000;509,88;1.320,58;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48548;ALA DE REDE TUBULAR DN 1500, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;43,3000000;13,24;573,29;
Serviço: ED-48548;ALA DE REDE TUBULAR DN 1500, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;0,5900000;70,69;41,70;
Serviço: ED-48548;ALA DE REDE TUBULAR DN 1500, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;17,5600000;53,25;935,07;
Serviço: ED-48548;ALA DE REDE TUBULAR DN 1500, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;2,8400000;509,88;1.448,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48539;ALA DE REDE TUBULAR DN 500, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;14,2000000;13,24;188,00;
Serviço: ED-48539;ALA DE REDE TUBULAR DN 500, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3300000;53,41;17,62;
Serviço: ED-48539;ALA DE REDE TUBULAR DN 500, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;5,0700000;53,25;269,97;
Serviço: ED-48539;ALA DE REDE TUBULAR DN 500, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;0,9500000;509,88;484,38;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48540;ALA DE REDE TUBULAR DN 600, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;16,2000000;13,24;214,48;
Serviço: ED-48540;ALA DE REDE TUBULAR DN 600, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3400000;53,41;18,15;
Serviço: ED-48540;ALA DE REDE TUBULAR DN 600, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;5,8000000;53,25;308,85;
Serviço: ED-48540;ALA DE REDE TUBULAR DN 600, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;1,0400000;509,88;530,27;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48541;ALA DE REDE TUBULAR DN 700, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;17,1000000;13,24;226,40;
Serviço: ED-48541;ALA DE REDE TUBULAR DN 700, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3500000;53,41;18,69;
Serviço: ED-48541;ALA DE REDE TUBULAR DN 700, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;6,6100000;53,25;351,98;
Serviço: ED-48541;ALA DE REDE TUBULAR DN 700, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;1,1200000;509,88;571,06;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48542;ALA DE REDE TUBULAR DN 800, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;18,2000000;13,24;240,96;
Serviço: ED-48542;ALA DE REDE TUBULAR DN 800, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3600000;53,41;19,22;
Serviço: ED-48542;ALA DE REDE TUBULAR DN 800, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;7,4600000;53,25;397,24;
Serviço: ED-48542;ALA DE REDE TUBULAR DN 800, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;1,2000000;509,88;611,85;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48543;ALA DE REDE TUBULAR DN 900, EXCLUSIVECORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (16,0MM A 25, 0MM)  ;ED-48296 ;Kg    ;19,6000000;13,24;259,50;
Serviço: ED-48543;ALA DE REDE TUBULAR DN 900, EXCLUSIVEESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3700000;53,41;19,76;
Serviço: ED-48543;ALA DE REDE TUBULAR DN 900, EXCLUSIVEFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;8,3600000;53,25;445,17;
Serviço: ED-48543;ALA DE REDE TUBULAR DN 900, EXCLUSIVEFORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;1,2900000;509,88;657,74;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50827;ALAMBRADO H = 3,20 M, TELA GALVANIZADACINTA ARMADA EM CONCRETO 20 MPa, INCLUSIVE LASTRO 5 CM EM CONCRETO MAGRO 9 MPa, FORMAS LATERAIS E DESFORMA. ;ED-50860 ;m3    ;0,1000000;3.130,95;313,09;
Serviço: ED-50827;ALAMBRADO H = 3,20 M, TELA GALVANIZADAMONTADOR COM ENCARGOS COMPLEMENTARES ;ED-50380 ;hora  ;1,2000000;19,41;23,29;
Serviço: ED-50827;ALAMBRADO H = 3,20 M, TELA GALVANIZADASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;2,4000000;15,71;37,70;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50828;ALAMBRADO H = 4,00 M, TELA GALVANIZADACINTA ARMADA EM CONCRETO 20 MPa, INCLUSIVE LASTRO 5 CM EM CONCRETO MAGRO 9 MPa, FORMAS LATERAIS E DESFORMA. ;ED-50860 ;m3    ;0,1000000;3.130,95;313,09;
Serviço: ED-50828;ALAMBRADO H = 4,00 M, TELA GALVANIZADAMONTADOR COM ENCARGOS COMPLEMENTARES ;ED-50380 ;hora  ;1,2000000;19,41;23,29;
Serviço: ED-50828;ALAMBRADO H = 4,00 M, TELA GALVANIZADASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;2,4000000;15,71;37,70;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50829;ALAMBRADO H = 6,00 M, TELA GALVANIZADACINTA ARMADA EM CONCRETO 20 MPa, INCLUSIVE LASTRO 5 CM EM CONCRETO MAGRO 9 MPa, FORMAS LATERAIS E DESFORMA. ;ED-50860 ;m3    ;0,1000000;3.130,95;313,09;
Serviço: ED-50829;ALAMBRADO H = 6,00 M, TELA GALVANIZADAMONTADOR COM ENCARGOS COMPLEMENTARES ;ED-50380 ;hora  ;1,2000000;19,41;23,29;
Serviço: ED-50829;ALAMBRADO H = 6,00 M, TELA GALVANIZADASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;2,4000000;15,71;37,70;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
